,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
19,41461,Female,Loyal Customer,53,Personal Travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,neutral or dissatisfied
20,103528,Female,Loyal Customer,54,Business travel,Business,2936,3,3,3,3,5,5,4,5,5,4,5,3,5,4,0,0.0,satisfied
21,79187,Male,Loyal Customer,12,Personal Travel,Eco Plus,2422,2,5,2,4,2,3,3,4,4,4,5,3,5,3,0,0.0,neutral or dissatisfied
22,85784,Female,Loyal Customer,24,Business travel,Business,666,5,5,5,5,4,4,4,4,3,3,5,5,4,4,9,0.0,satisfied
23,75321,Female,Loyal Customer,46,Business travel,Business,2556,2,2,2,2,5,5,5,3,5,3,4,5,3,5,4,10.0,satisfied
24,65849,Male,Loyal Customer,46,Business travel,Eco,989,5,1,1,1,5,5,5,5,5,2,3,2,1,5,0,0.0,satisfied
25,84236,Male,Loyal Customer,7,Personal Travel,Eco,432,4,4,4,3,2,4,2,2,5,3,4,5,5,2,0,0.0,neutral or dissatisfied
26,53524,Female,Loyal Customer,23,Personal Travel,Eco,2288,1,5,1,2,1,2,2,3,4,1,2,2,4,2,196,178.0,neutral or dissatisfied
27,38161,Female,Loyal Customer,33,Personal Travel,Eco,1197,4,4,5,5,3,5,4,3,3,3,5,5,4,3,38,20.0,neutral or dissatisfied
28,80531,Male,Loyal Customer,43,Business travel,Business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,satisfied
29,28924,Female,Loyal Customer,48,Business travel,Eco,679,3,2,2,2,4,2,4,3,3,3,3,2,3,3,0,0.0,satisfied
30,95481,Male,Loyal Customer,30,Business travel,Eco Plus,323,4,4,4,4,4,4,4,4,2,2,2,2,2,4,0,0.0,neutral or dissatisfied
31,123529,Female,Loyal Customer,56,Business travel,Business,2296,5,5,5,5,4,4,4,5,5,5,5,3,5,4,0,0.0,satisfied
32,88245,Female,Loyal Customer,57,Business travel,Business,270,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,2.0,satisfied
33,129814,Male,Loyal Customer,49,Personal Travel,Eco,337,2,2,2,3,3,2,3,3,2,2,3,1,3,3,0,0.0,neutral or dissatisfied
34,108839,Male,Loyal Customer,54,Business travel,Business,1947,3,3,3,3,2,5,4,5,5,5,5,5,5,5,8,17.0,satisfied
35,111719,Female,Loyal Customer,49,Personal Travel,Eco,495,2,4,2,4,5,5,5,1,1,2,1,3,1,3,0,0.0,neutral or dissatisfied
36,119968,Female,Loyal Customer,46,Personal Travel,Eco,868,1,5,1,5,1,4,4,5,5,1,5,1,5,1,1,15.0,neutral or dissatisfied
37,55352,Female,Loyal Customer,22,Business travel,Business,678,5,5,5,5,4,4,4,4,5,2,5,5,5,4,0,0.0,satisfied
38,38044,Male,Loyal Customer,58,Business travel,Business,1220,5,5,5,5,1,2,3,4,4,4,4,5,4,2,0,0.0,satisfied
39,114848,Female,Loyal Customer,46,Business travel,Business,417,5,5,5,5,4,4,5,5,5,5,5,3,5,4,18,19.0,satisfied
40,33413,Male,Loyal Customer,50,Business travel,Eco,2349,4,3,3,3,4,4,4,4,1,2,4,3,4,4,0,0.0,satisfied
41,75555,Female,Loyal Customer,52,Business travel,Business,337,3,3,3,3,4,4,4,5,5,5,5,4,5,4,41,33.0,satisfied
42,59263,Male,Loyal Customer,44,Business travel,Business,4963,5,5,5,5,4,4,4,3,3,4,4,4,5,4,0,0.0,satisfied
43,1926,Female,Loyal Customer,36,Business travel,Business,3166,0,0,0,5,2,5,4,1,1,1,1,3,1,3,0,7.0,satisfied
44,67937,Female,Loyal Customer,43,Personal Travel,Eco,1205,2,4,2,3,3,4,4,4,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
45,98781,Female,Loyal Customer,40,Business travel,Business,2398,2,2,2,2,3,4,5,4,4,4,4,4,4,4,0,0.0,satisfied
46,123382,Male,Loyal Customer,35,Personal Travel,Eco Plus,644,4,5,4,4,1,4,1,1,5,2,4,3,4,1,0,0.0,neutral or dissatisfied
47,122665,Female,Loyal Customer,49,Business travel,Business,361,2,3,3,3,2,3,3,2,2,2,2,1,2,2,6,0.0,neutral or dissatisfied
48,5013,Male,Loyal Customer,54,Personal Travel,Eco,502,3,5,3,2,2,3,2,2,4,2,5,3,4,2,0,23.0,neutral or dissatisfied
49,108256,Female,Loyal Customer,23,Business travel,Eco,895,4,1,1,1,4,4,3,4,4,3,3,1,3,4,1,11.0,neutral or dissatisfied
50,94864,Male,Loyal Customer,56,Business travel,Business,3400,3,1,1,1,1,4,4,3,3,3,3,1,3,2,0,0.0,neutral or dissatisfied
51,76871,Female,Loyal Customer,34,Personal Travel,Eco,1927,1,4,1,3,5,1,5,5,3,2,5,4,5,5,0,0.0,neutral or dissatisfied
52,96160,Female,Loyal Customer,32,Business travel,Business,3147,4,1,4,4,4,4,4,4,5,4,5,4,4,4,7,9.0,satisfied
53,96402,Female,Loyal Customer,42,Business travel,Eco,942,3,1,1,1,2,4,4,3,3,3,3,3,3,2,0,0.0,neutral or dissatisfied
54,90228,Female,Loyal Customer,54,Business travel,Eco Plus,1084,2,1,1,1,2,3,4,2,2,2,2,1,2,2,0,0.0,neutral or dissatisfied
55,94257,Female,Loyal Customer,50,Business travel,Business,2504,0,4,0,1,5,4,5,5,5,5,5,3,5,4,14,11.0,satisfied
56,75299,Male,Loyal Customer,36,Personal Travel,Eco Plus,1744,2,1,2,4,1,2,1,1,3,1,2,4,4,1,0,0.0,neutral or dissatisfied
57,44522,Female,Loyal Customer,20,Business travel,Business,157,4,4,4,4,3,3,4,3,2,4,3,3,4,3,2,14.0,neutral or dissatisfied
58,17416,Female,Loyal Customer,43,Business travel,Business,2686,5,5,5,5,1,2,3,5,5,5,5,5,5,1,0,0.0,satisfied
59,6528,Female,Loyal Customer,67,Personal Travel,Eco,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
60,48165,Female,Loyal Customer,33,Business travel,Business,236,3,4,4,4,3,2,2,3,3,3,3,1,3,4,80,81.0,neutral or dissatisfied
61,114408,Male,disloyal Customer,40,Business travel,Business,337,5,0,0,3,2,0,2,2,5,2,5,3,5,2,8,8.0,satisfied
62,109724,Female,disloyal Customer,23,Business travel,Eco,587,3,3,3,3,3,3,3,3,3,4,4,1,4,3,0,0.0,neutral or dissatisfied
63,1017,Male,Loyal Customer,61,Business travel,Business,2400,2,2,2,2,4,3,3,4,4,5,4,4,4,3,0,3.0,satisfied
64,83703,Male,Loyal Customer,70,Personal Travel,Eco,577,2,4,2,4,4,2,4,4,5,2,5,5,5,4,0,0.0,neutral or dissatisfied
65,5369,Female,disloyal Customer,18,Business travel,Business,812,0,0,0,4,2,0,2,2,5,4,4,5,4,2,0,0.0,satisfied
66,90094,Female,disloyal Customer,23,Business travel,Eco,983,2,2,2,3,2,2,3,2,3,3,3,1,3,2,0,0.0,neutral or dissatisfied
67,17212,Female,Loyal Customer,31,Business travel,Business,3451,3,3,3,3,5,5,5,5,3,5,1,2,1,5,0,0.0,satisfied
68,67647,Female,disloyal Customer,48,Business travel,Eco,1205,2,2,2,4,1,2,1,1,2,5,4,2,4,1,1,4.0,neutral or dissatisfied
69,110544,Female,Loyal Customer,52,Business travel,Business,2553,2,4,4,4,5,3,3,2,2,2,2,3,2,1,0,0.0,neutral or dissatisfied
70,9419,Male,disloyal Customer,28,Business travel,Business,362,5,5,5,3,5,5,5,5,5,2,5,3,4,5,0,0.0,satisfied
71,18126,Female,Loyal Customer,80,Business travel,Eco,120,3,4,4,4,2,3,3,3,3,3,3,2,3,1,76,64.0,neutral or dissatisfied
72,44293,Female,Loyal Customer,43,Business travel,Eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
73,37210,Female,Loyal Customer,64,Personal Travel,Eco,680,5,5,5,1,4,4,4,1,1,5,1,4,1,5,44,48.0,satisfied
74,13866,Male,Loyal Customer,29,Business travel,Eco,667,5,2,2,2,5,5,5,5,5,5,1,2,5,5,0,0.0,satisfied
75,56867,Male,disloyal Customer,29,Business travel,Eco,2454,1,1,1,3,1,4,4,4,4,3,3,4,1,4,51,57.0,neutral or dissatisfied
76,99407,Male,Loyal Customer,48,Business travel,Eco,337,2,1,1,1,2,2,2,2,3,2,3,4,3,2,0,6.0,neutral or dissatisfied
77,68423,Female,Loyal Customer,32,Personal Travel,Eco,1045,1,1,1,2,4,1,4,4,1,2,2,4,1,4,0,0.0,neutral or dissatisfied
78,116361,Male,Loyal Customer,36,Personal Travel,Eco,446,3,4,3,3,2,3,1,2,5,4,5,3,5,2,23,17.0,neutral or dissatisfied
79,69563,Male,Loyal Customer,62,Business travel,Eco,2586,3,2,2,2,3,3,3,4,2,3,4,3,2,3,15,38.0,neutral or dissatisfied
80,26471,Female,Loyal Customer,51,Personal Travel,Eco,925,4,2,3,3,3,2,2,1,1,3,1,3,1,3,5,17.0,neutral or dissatisfied
81,42184,Female,Loyal Customer,48,Business travel,Business,834,3,3,3,3,3,1,5,5,5,5,5,4,5,3,0,0.0,satisfied
82,97765,Female,Loyal Customer,46,Business travel,Eco Plus,587,2,4,4,4,3,4,3,2,2,2,2,1,2,1,57,60.0,neutral or dissatisfied
83,4160,Male,Loyal Customer,25,Personal Travel,Eco,427,5,3,5,4,3,5,3,3,1,2,4,4,3,3,122,125.0,satisfied
84,57256,Female,disloyal Customer,28,Business travel,Eco,804,4,4,4,3,4,4,1,4,3,2,4,1,3,4,0,0.0,neutral or dissatisfied
85,18395,Female,disloyal Customer,38,Business travel,Eco,378,1,2,1,3,4,1,4,4,3,5,4,2,3,4,0,0.0,neutral or dissatisfied
86,56893,Female,disloyal Customer,54,Business travel,Eco,901,4,4,4,3,4,5,5,2,4,2,2,5,1,5,49,38.0,neutral or dissatisfied
87,119667,Female,Loyal Customer,62,Personal Travel,Eco,507,3,4,3,3,5,4,4,3,3,3,3,3,3,2,9,1.0,neutral or dissatisfied
88,119294,Male,Loyal Customer,44,Business travel,Eco,214,2,3,3,3,2,2,2,2,3,1,4,1,3,2,0,0.0,neutral or dissatisfied
89,99553,Male,disloyal Customer,18,Business travel,Eco,808,2,2,2,4,4,2,4,4,3,2,3,4,3,4,93,97.0,neutral or dissatisfied
90,46178,Female,Loyal Customer,27,Business travel,Eco Plus,627,0,0,0,3,2,0,2,2,2,2,3,1,1,2,83,69.0,satisfied
91,121903,Male,Loyal Customer,29,Personal Travel,Eco,366,3,4,5,2,1,5,1,1,5,2,5,5,5,1,1,0.0,neutral or dissatisfied
92,33265,Male,Loyal Customer,52,Personal Travel,Eco Plus,102,3,3,3,1,2,3,2,2,2,5,1,5,5,2,0,0.0,neutral or dissatisfied
93,96407,Male,Loyal Customer,18,Personal Travel,Eco,1342,3,4,4,2,3,4,3,3,4,3,3,5,5,3,0,0.0,neutral or dissatisfied
94,83035,Male,Loyal Customer,40,Business travel,Business,1084,4,4,1,4,2,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
95,75072,Male,Loyal Customer,35,Personal Travel,Eco,2611,2,2,2,2,2,2,2,2,3,2,2,1,2,2,0,0.0,neutral or dissatisfied
96,82672,Male,Loyal Customer,56,Business travel,Business,632,1,4,4,4,3,3,4,1,1,2,1,2,1,3,0,1.0,neutral or dissatisfied
97,112009,Female,Loyal Customer,21,Personal Travel,Eco Plus,533,2,5,2,3,5,2,5,5,5,4,5,4,5,5,39,43.0,neutral or dissatisfied
98,112129,Male,Loyal Customer,43,Business travel,Business,977,5,5,5,5,5,5,4,2,2,2,2,4,2,5,101,72.0,satisfied
99,101138,Female,Loyal Customer,62,Business travel,Business,1235,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
100,64852,Female,Loyal Customer,79,Business travel,Business,1850,3,2,2,2,2,4,3,3,3,3,3,3,3,4,13,8.0,neutral or dissatisfied
101,59704,Female,Loyal Customer,35,Personal Travel,Eco,964,4,4,4,4,3,4,3,3,3,4,5,4,4,3,0,0.0,neutral or dissatisfied
102,126999,Female,Loyal Customer,31,Business travel,Business,2307,3,3,3,3,5,5,5,5,3,5,4,5,4,5,75,58.0,satisfied
103,113921,Male,Loyal Customer,40,Business travel,Business,3950,3,3,3,3,4,2,4,4,4,4,3,5,4,2,16,13.0,satisfied
104,83841,Male,Loyal Customer,31,Personal Travel,Eco,425,4,4,4,5,2,4,1,2,4,2,5,5,4,2,0,0.0,satisfied
105,52806,Male,Loyal Customer,55,Personal Travel,Business,2402,1,0,1,4,2,5,4,2,2,1,2,3,2,3,60,106.0,neutral or dissatisfied
106,43988,Female,Loyal Customer,39,Business travel,Business,3013,0,0,0,2,4,5,2,3,3,1,1,4,3,5,52,52.0,satisfied
107,54955,Male,Loyal Customer,46,Business travel,Business,1635,2,2,2,2,5,3,4,2,2,2,2,4,2,3,21,1.0,satisfied
108,102612,Female,Loyal Customer,41,Business travel,Business,2428,1,1,1,1,4,5,5,4,4,4,4,3,4,5,49,47.0,satisfied
109,99387,Male,Loyal Customer,36,Business travel,Eco,337,2,4,4,4,2,2,2,2,1,2,3,4,4,2,0,0.0,neutral or dissatisfied
110,72835,Female,Loyal Customer,28,Business travel,Business,2938,4,4,4,4,4,4,4,4,5,4,4,4,5,4,9,0.0,satisfied
111,119847,Male,Loyal Customer,31,Business travel,Business,2894,4,5,4,4,4,4,4,4,4,3,3,2,3,4,0,0.0,neutral or dissatisfied
112,106118,Male,Loyal Customer,37,Business travel,Business,2989,2,2,2,2,3,4,4,5,5,5,5,3,5,3,0,0.0,satisfied
113,99812,Female,Loyal Customer,36,Business travel,Eco Plus,232,4,5,5,5,4,4,4,4,2,1,2,5,3,4,2,1.0,satisfied
114,75366,Male,Loyal Customer,25,Personal Travel,Eco Plus,2486,5,3,5,2,5,4,4,5,2,3,4,4,4,4,0,0.0,satisfied
115,89039,Female,Loyal Customer,46,Business travel,Business,1892,3,3,3,3,5,3,4,5,5,5,5,4,5,3,14,3.0,satisfied
116,77096,Female,Loyal Customer,52,Business travel,Business,1481,5,5,5,5,5,5,5,4,4,5,4,4,4,3,1,0.0,satisfied
117,33890,Male,Loyal Customer,31,Business travel,Business,1226,3,4,4,4,3,3,3,3,3,3,4,1,4,3,127,123.0,neutral or dissatisfied
118,917,Female,Loyal Customer,56,Business travel,Business,3870,3,3,3,3,4,4,4,5,5,5,4,5,5,4,0,0.0,satisfied
119,85031,Female,Loyal Customer,49,Personal Travel,Eco,1590,4,3,4,4,1,3,4,4,4,4,4,1,4,2,17,0.0,neutral or dissatisfied
120,94155,Male,Loyal Customer,42,Business travel,Business,2254,2,2,5,2,4,4,5,4,4,4,4,3,4,3,0,7.0,satisfied
121,99877,Female,Loyal Customer,22,Business travel,Business,1436,1,1,1,1,5,4,5,5,2,1,1,2,5,5,1,0.0,satisfied
122,66371,Male,Loyal Customer,57,Business travel,Business,3559,1,1,1,1,5,4,4,3,3,2,3,4,3,3,5,0.0,satisfied
123,67453,Female,Loyal Customer,54,Personal Travel,Eco,678,3,4,3,1,2,4,4,1,1,3,1,5,1,4,8,5.0,neutral or dissatisfied
124,98255,Female,Loyal Customer,37,Business travel,Eco,1072,1,5,5,5,1,1,1,1,4,3,4,4,3,1,0,0.0,neutral or dissatisfied
125,67551,Male,Loyal Customer,43,Personal Travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,neutral or dissatisfied
126,78929,Male,Loyal Customer,46,Business travel,Business,1911,2,2,4,2,5,5,4,3,3,4,3,3,3,4,0,0.0,satisfied
127,115726,Male,disloyal Customer,58,Business travel,Eco,390,2,2,2,4,2,2,4,2,2,4,4,2,3,2,0,0.0,neutral or dissatisfied
128,70282,Female,Loyal Customer,27,Business travel,Business,2184,3,3,3,3,4,5,4,4,5,5,4,3,5,4,0,10.0,satisfied
129,89073,Male,Loyal Customer,10,Business travel,Business,1947,2,5,5,5,2,3,2,2,1,1,4,2,3,2,0,0.0,neutral or dissatisfied
130,114096,Male,Loyal Customer,33,Personal Travel,Eco,2139,5,4,5,5,4,5,4,4,5,2,4,3,5,4,0,0.0,satisfied
131,16847,Male,Loyal Customer,60,Business travel,Business,2001,3,3,3,3,1,4,3,2,2,2,2,4,2,2,57,43.0,satisfied
132,47092,Female,Loyal Customer,69,Personal Travel,Eco,639,1,2,1,4,4,4,3,1,1,1,1,1,1,3,84,114.0,neutral or dissatisfied
133,106302,Male,Loyal Customer,50,Business travel,Business,998,5,5,5,5,5,5,5,4,4,4,4,5,4,4,9,5.0,satisfied
134,9051,Female,Loyal Customer,41,Business travel,Business,160,3,5,3,3,3,4,3,3,3,3,3,4,3,2,0,0.0,neutral or dissatisfied
135,66608,Female,Loyal Customer,46,Personal Travel,Eco,761,3,4,3,3,1,1,5,1,1,3,1,1,1,2,5,0.0,neutral or dissatisfied
136,103349,Female,disloyal Customer,57,Business travel,Eco Plus,1371,2,2,2,4,1,2,1,1,3,3,3,4,3,1,2,1.0,neutral or dissatisfied
137,94361,Female,Loyal Customer,42,Business travel,Business,2787,2,2,2,2,4,5,5,5,5,5,5,5,5,4,4,0.0,satisfied
138,48884,Male,disloyal Customer,22,Business travel,Eco,421,4,0,4,4,2,4,2,2,2,4,3,1,1,2,81,79.0,neutral or dissatisfied
139,63406,Female,Loyal Customer,50,Personal Travel,Eco,337,3,1,3,3,3,2,4,2,1,4,3,4,2,4,170,174.0,neutral or dissatisfied
140,88018,Female,disloyal Customer,24,Business travel,Eco,545,4,0,4,2,5,4,5,5,5,3,4,4,5,5,7,18.0,satisfied
141,9340,Female,Loyal Customer,39,Business travel,Business,401,1,1,1,1,5,5,5,4,4,4,4,3,4,3,0,2.0,satisfied
142,3147,Female,disloyal Customer,28,Business travel,Business,140,4,4,4,2,1,4,3,1,3,3,5,4,4,1,0,0.0,satisfied
143,48601,Male,Loyal Customer,56,Personal Travel,Eco,848,2,4,2,1,4,2,4,4,4,3,4,3,4,4,61,69.0,neutral or dissatisfied
144,20461,Female,disloyal Customer,42,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,neutral or dissatisfied
145,93326,Male,Loyal Customer,56,Business travel,Business,1653,2,2,4,2,3,5,4,5,5,5,5,5,5,3,11,3.0,satisfied
146,6744,Male,Loyal Customer,48,Business travel,Business,2793,0,4,1,4,5,5,5,2,2,2,2,4,2,4,6,6.0,satisfied
147,7404,Female,Loyal Customer,55,Business travel,Business,3903,5,5,5,5,2,5,4,5,5,5,5,5,5,3,15,51.0,satisfied
148,500,Male,Loyal Customer,48,Business travel,Business,2469,2,2,2,2,4,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
149,113114,Male,Loyal Customer,60,Personal Travel,Eco,543,2,1,2,2,2,2,2,2,4,5,1,4,2,2,34,13.0,neutral or dissatisfied
150,39900,Female,disloyal Customer,36,Business travel,Eco Plus,221,3,3,3,3,3,3,3,3,1,5,1,5,3,3,0,0.0,neutral or dissatisfied
151,13195,Male,Loyal Customer,51,Business travel,Eco,142,5,2,3,2,5,5,5,5,2,5,2,1,3,5,11,0.0,satisfied
152,116643,Female,disloyal Customer,22,Business travel,Business,373,5,0,5,3,5,5,5,5,3,5,5,3,5,5,0,0.0,satisfied
153,118362,Male,disloyal Customer,23,Business travel,Business,602,0,4,0,1,4,0,4,4,3,2,4,4,5,4,0,3.0,satisfied
154,20120,Female,Loyal Customer,55,Business travel,Business,416,2,5,5,5,2,1,2,2,2,2,2,1,2,4,15,6.0,neutral or dissatisfied
155,124200,Female,Loyal Customer,43,Business travel,Business,2176,3,3,4,3,4,2,3,3,3,3,3,3,3,2,0,0.0,neutral or dissatisfied
156,42677,Female,Loyal Customer,41,Business travel,Eco,627,2,3,5,5,2,2,2,2,2,1,4,1,4,2,0,0.0,neutral or dissatisfied
157,110021,Female,Loyal Customer,66,Personal Travel,Eco,1204,4,1,4,3,3,4,3,4,4,4,4,4,4,3,56,38.0,neutral or dissatisfied
158,9480,Male,Loyal Customer,54,Business travel,Business,224,3,3,3,3,5,4,4,5,5,5,5,4,5,5,16,15.0,satisfied
159,119363,Female,Loyal Customer,37,Business travel,Business,1869,3,5,5,5,2,4,4,3,3,2,3,3,3,4,0,0.0,neutral or dissatisfied
160,57755,Female,Loyal Customer,49,Business travel,Business,2704,5,5,5,5,4,3,3,3,4,3,5,3,4,3,35,63.0,satisfied
161,77099,Female,Loyal Customer,36,Business travel,Business,1481,3,3,3,3,2,4,4,5,5,5,5,4,5,5,0,0.0,satisfied
162,9079,Male,Loyal Customer,64,Personal Travel,Eco,173,3,2,3,3,4,3,4,4,2,2,3,1,2,4,9,6.0,neutral or dissatisfied
163,70452,Male,Loyal Customer,41,Business travel,Business,3753,5,5,5,5,4,5,4,5,5,4,5,5,5,3,7,4.0,satisfied
164,64252,Female,Loyal Customer,66,Personal Travel,Eco,1660,4,4,4,1,3,4,4,5,5,4,5,5,5,3,15,0.0,neutral or dissatisfied
165,102562,Female,disloyal Customer,23,Business travel,Eco,223,3,5,3,2,3,3,3,3,4,4,5,5,5,3,4,8.0,neutral or dissatisfied
166,25891,Male,disloyal Customer,9,Business travel,Eco,907,3,4,4,3,2,4,2,2,1,2,3,4,2,2,57,68.0,neutral or dissatisfied
167,126391,Male,Loyal Customer,70,Personal Travel,Eco,590,2,4,2,5,5,2,5,5,5,2,4,3,4,5,0,0.0,neutral or dissatisfied
168,126427,Female,Loyal Customer,12,Business travel,Eco Plus,650,3,5,5,5,3,3,1,3,3,5,4,2,4,3,0,12.0,neutral or dissatisfied
169,1144,Male,Loyal Customer,60,Personal Travel,Eco,158,3,4,3,1,5,3,2,5,3,2,4,4,4,5,0,0.0,neutral or dissatisfied
170,64324,Male,Loyal Customer,50,Business travel,Business,3336,5,5,5,5,2,4,4,5,5,5,5,4,5,3,0,0.0,satisfied
171,88602,Female,Loyal Customer,18,Personal Travel,Eco,240,2,5,2,3,3,2,1,3,3,3,4,5,5,3,32,27.0,neutral or dissatisfied
172,120151,Female,disloyal Customer,29,Business travel,Business,2378,2,2,2,1,2,4,3,4,2,4,4,3,3,3,24,25.0,neutral or dissatisfied
173,92327,Male,disloyal Customer,23,Business travel,Eco,1075,5,5,5,3,5,5,5,3,2,4,5,5,5,5,0,0.0,satisfied
174,21600,Female,disloyal Customer,36,Business travel,Eco,780,2,2,2,2,4,2,4,4,1,2,4,5,5,4,99,98.0,neutral or dissatisfied
175,100244,Female,Loyal Customer,39,Business travel,Business,1052,1,1,1,1,5,5,5,5,5,5,5,5,5,4,3,0.0,satisfied
176,74892,Male,Loyal Customer,42,Business travel,Business,2475,1,1,1,1,5,4,4,5,5,5,5,5,5,3,0,0.0,satisfied
177,15392,Female,Loyal Customer,39,Business travel,Eco,433,3,5,5,5,3,3,3,3,3,3,4,2,3,3,49,38.0,neutral or dissatisfied
178,121082,Female,Loyal Customer,9,Personal Travel,Eco Plus,920,3,5,4,3,2,4,3,2,4,5,4,3,5,2,0,0.0,neutral or dissatisfied
179,59365,Female,disloyal Customer,24,Business travel,Eco,1407,2,2,2,4,1,2,1,1,4,5,2,3,3,1,5,0.0,neutral or dissatisfied
180,43768,Male,disloyal Customer,21,Business travel,Eco,546,3,4,3,4,2,3,2,2,5,5,3,3,4,2,0,1.0,neutral or dissatisfied
181,74260,Female,Loyal Customer,54,Business travel,Business,3325,4,4,4,4,4,4,4,4,4,4,4,3,4,5,0,39.0,satisfied
182,126712,Female,Loyal Customer,60,Business travel,Business,2370,1,1,1,1,3,3,5,4,4,4,4,5,4,4,0,12.0,satisfied
183,99571,Male,Loyal Customer,45,Business travel,Business,3146,5,5,4,5,5,4,4,4,4,4,4,3,4,4,0,4.0,satisfied
184,81730,Female,Loyal Customer,47,Business travel,Business,1416,4,4,4,4,4,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
185,61589,Female,Loyal Customer,58,Business travel,Business,1635,4,4,5,4,5,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
186,49440,Female,Loyal Customer,54,Business travel,Eco,308,5,5,5,5,1,5,5,5,5,5,5,3,5,5,0,0.0,satisfied
187,54050,Male,Loyal Customer,41,Business travel,Business,1416,3,3,4,3,4,1,5,3,3,3,3,1,3,5,0,2.0,satisfied
188,45465,Male,Loyal Customer,34,Business travel,Business,3290,5,5,5,5,2,3,3,4,4,5,4,4,4,4,29,19.0,satisfied
189,2691,Male,Loyal Customer,38,Business travel,Business,562,3,3,3,3,2,1,2,3,3,2,3,2,3,2,44,36.0,neutral or dissatisfied
